FOLDER_NAME,FILE_NAME,DEST_FILE_NAME.ff
GOOERE62,KC524V.O.BART.B.CAMPS.REJECTS.G3254.ORE62.ff,PGO0O.BART.B.CAMPS.REJECTS.ff
GOOERE62,KC524V.O.BART.B.CREDIT.DPO1.G8730.IRE62.ff,PGO0O.BART.B.CREDIT.DPO1.ff
GOLECP91,KS5675.L.BART.B.CREDIT.DPO1.G8723.I0507.ff,PGO0L.BART.B.CREDIT.DPO1.ff
GOLECP91,KS5675.L.BART.B.CAMPS.REJECTS.G5960.O0507.ff,PGO0L.BART.B.CAMPS.REJECTS.ff
GOMECP91,KS8184.BART.B.CAMPS.REJECTS.G5940.O705.ff,PGO0M.BART.B.CAMPS.REJECTS.ff
GOMECP91,KS8184.BART.B.CREDIT.DPO1.G8720.I705.ff,PGO0M.BART.B.CREDIT.DPO1.ff
GOOECP91,KC524V.O.BART.B.CAMPS.REJECTS.G3254.OCP91.ff,PGO0O.BART.B.CAMPS.REJECTS.ff
GOOECP91,KC524V.O.BART.B.CREDIT.DPO1.G8730.ICP91.ff,PGO0O.BART.B.CREDIT.DPO1.ff
GONECP91,KC524V.N.BART.B.CAMPS.REJECTS.G8643.OCP91.ff,PGO0N.BART.B.CAMPS.REJECTS.ff
GONECP91,KC524V.N.BART.B.CREDIT.DPO1.G8710.ICP91.ff,PGO0N.BART.B.CREDIT.DPO1.ff
GOWECP91,GL9144.W.BART.B.CAMPS.REJECTS.G1038.OCP91.ff,PGO0W.BART.B.CAMPS.REJECTS.ff
GOWECP91,GL9144.W.BART.B.CREDIT.DPO1.G8722.ICP91.ff,PGO0W.BART.B.CREDIT.DPO1.ff
GOLECP92,KS5675.L.BART.B.CREDIT.DPO2.G8722.I0507.ff,PGO0L.BART.B.CREDIT.DPO2.ff
GOLECP92,KS5675.L.BART.B.CAMPS.REJECTS.G5958.O0507.ff,PGO0L.BART.B.CAMPS.REJECTS.ff
GOMECP92,KS8184.BART.B.CAMPS.REJECTS.G5939.O705.ff,PGO0M.BART.B.CAMPS.REJECTS.ff
GOMECP92,KS8184.BART.B.CREDIT.DPO2.G8720.I705.ff,PGO0M.BART.B.CREDIT.DPO2.ff
GOOECP92,KC524V.O.BART.B.CAMPS.REJECTS.G3253.OCP92.ff,PGO0O.BART.B.CAMPS.REJECTS.ff
GOOECP92,KC524V.O.BART.B.CREDIT.DPO2.G8730.ICP92.ff,PGO0O.BART.B.CREDIT.DPO2.ff
GOLECP93,KS5675.L.BART.B.CREDIT.DPO3.G8723.I0507.ff,PGO0L.BART.B.CREDIT.DPO3.ff
GOLECP93,KS5675.L.BART.B.CAMPS.REJECTS.G5959.O0507.ff,PGO0L.BART.B.CAMPS.REJECTS.ff
GOMECP93,KS8184.BART.B.CAMPS.REJECTS.G5938.O705.ff,PGO0M.BART.B.CAMPS.REJECTS.ff
